CDS_number,VF_number,Length_bp,Description,Plk1,Plk2,Plk3,Swt1,Swt2,Swt3,Vnt1,Vnt2,Vnt3
c2cds506,VF_A0510,969,low-affinity zinc transport protein,859,990,1198,1374,1281,318,219,402,659
c2cds507,VF_A0511,945,ribosomal biogenesis GTPase,1336,1965,2516,2263,1816,523,364,519,873
c2cds508,,306,Phage integrase family protein,16,20,17,3,5,3,0,12,29
c2cds509,,183,DNA integration%2Frecombination%2Finvertion protein,30,17,37,2,1,0,0,7,23
c2cds510,VF_A0514,954,hypothetical protein,34,259,78,128,370,95,88,96,70
c2cds511,VF_A0515,654,prophage protein,39,46,36,7,8,4,26,51,33
c2cds512,VF_A0516,1440,lipoprotein,174,107,97,90,64,25,149,73,129
c2cds513,VF_A0517,765,hypothetical protein,8,0,0,0,0,1,30,0,4
c2cds514,,336,hypothetical protein,2,0,0,0,3,0,0,3,0
c2cds515,,900,hypothetical protein,1,0,6,0,0,0,0,2,5
c2cds516,,468,hypothetical protein,44,27,23,11,10,0,0,5,21
c2cds517,,444,hypothetical protein,16,9,15,4,6,2,0,5,11
c2cds518,VF_A0522,474,DNA repair protein RadC,8,4,5,3,5,0,46,2,5
c2cds519,,192,DNA-binding protein,3,0,3,0,1,1,0,1,3
c2cds520,,447,ribonuclease H,4,2,4,1,4,2,0,2,1
c2cds521,VF_A0525,768,AraC family transcriptional regulator,44,35,32,10,24,8,22,74,44
c2cds522,VF_A0526,870,GGDEF domain-containing protein,5,23,16,6,32,3,21,29,14
c2cds523,VF_A0527,1611,methyl-accepting chemotaxis protein,20,13,21,148,93,16,27,41,18
c2cds524,VF_A0528,1644,methyl-accepting chemotaxis protein,151,96,75,134,133,41,153,186,68
c2cds525,VF_A0529,735,nicotinamide mononucleotide transporter,179,204,175,93,85,25,130,382,842
c2cds526,VF_A0530,735,uridine phosphorylase,881,639,698,170,243,44,26,360,771
c2cds527,VF_A0531,684,hypothetical protein,388,352,320,185,109,43,30,303,344
c2cds528,VF_A0532,144,hypothetical protein,30,46,31,49,20,6,75,29,24
c2cds529,VF_A0533,2229,hypothetical protein,1056,682,733,614,538,205,259,330,320
c2cds530,VF_A0534,171,hypothetical protein,100,8,2,109,19,22,0,25,22
c2cds531,VF_A0535,1482,DNA methylase M,1109,342,412,2195,1203,298,127,277,505
c2cds532,VF_A0536,1872,hypothetical protein,1107,837,1040,2579,1950,549,66,375,715
c2cds533,VF_A0537,1467,type I restriction-modification system methylation subunit,1032,894,953,2144,1544,438,26,129,241
c2cds534,VF_A0538,1221,type I restriction-modification system specificity subunit,1312,953,888,1469,1189,418,163,181,273
c2cds535,VF_A0539,2994,type I restriction-modification system restriction subunit,3639,2986,4317,4310,4407,1210,146,462,993
c2cds536,VF_A0540,1326,hypothetical protein,1104,635,720,1229,1147,269,86,262,382
c2cds537,VF_A0541,1650,hypothetical protein,333,262,278,1602,1113,294,43,201,172
c2cds538,VF_A0542,4065,superfamily I DNA helicase,1588,928,985,5070,4468,1033,80,275,432
c2cds539,VF_A0543,504,hypothetical protein,191,159,180,433,528,124,30,80,106
c2cds540,VF_A0544,267,hypothetical protein,57,49,93,147,226,37,20,31,49
c2cds541,VF_A0545,1404,cytoplasmic protein,568,474,545,1031,905,231,171,193,403
c2cds542,VF_A0546,978,hypothetical protein,641,491,555,910,744,161,40,138,217
c2cds543,VF_A0547,591,hypothetical protein,1244,579,582,960,792,197,139,184,250
c2cds544,VF_A0548,1200,phage family integrase,891,1013,1300,532,579,192,14,493,883
c2cds545,VF_A0549,450,lipoprotein,210,340,416,22,51,10,0,29,91
c2cds546,VF_A0550,2112,cytoplasmic protein,670,875,1185,160,127,43,65,78,174
c2cds547,VF_A0551,801,diguanylate phosphodiesterase,311,191,162,195,138,42,32,88,89
c2cds548,VF_A0552,828,cytoplasmic protein,295,333,454,880,1017,341,0,239,315
c2cds549,VF_A0553,1383,ATP-dependent RNA helicase,2222,3350,4896,4219,2897,998,222,1830,2347
c2cds550,VF_A0554,282,cytoplasmic protein,2250,2178,2892,1361,853,144,27,673,660
c2cds551,VF_A0555,813,phosphate-binding protein,3407,2317,4536,542,581,193,76,553,521
c2cds552,VF_A0556,801,hypothetical protein,279,277,330,705,458,156,47,467,550
c2cds553,VF_A0557,1713,DNA-binding transcriptional regulator,1782,1675,1514,1073,1021,280,252,973,1359
c2cds554,VF_A0558,966,coproporphyrinogen III oxidase,527,332,352,799,571,180,59,155,206
c2cds555,VF_A0559,267,hypothetical protein,63,107,106,47,40,19,152,120,126
c2cds556,VF_A0560,1446,two component sensor histidine kinase,1385,1108,1170,947,843,277,226,789,938
c2cds557,VF_A0561,657,two component response regulator,1016,863,1027,1451,1249,380,119,589,840
c2cds558,VF_A0562,909,hypothetical protein,702,785,794,794,609,215,220,424,484
c2cds559,VF_A0563,162,hypothetical protein,890,860,653,102,225,44,24,128,341
c2cds560,VF_A0564,1200,TraF protein,456,2911,2609,1865,1643,458,52,171,223
c2cds561,VF_A0565,537,molybdenum cofactor biosynthesis protein MogA,2202,2329,2190,2024,1487,471,104,780,1146
c2cds562,VF_A0566,225,hypothetical protein,63,14,13,7,6,4,55,15,15
c2cds563,VF_A0567,1965,GGDEF domain-containing protein,4357,3186,2512,768,822,238,658,2350,3187
c2cds564,VF_A0568,2679,fused acyl-CoA synthetase: NAD%28P%29-binding subunit%2FATP-binding subunit,7503,5593,4844,1375,2568,619,628,2182,5092
c2cds565,VF_A0569,561,hypothetical protein,2179,3520,3977,3662,2904,773,159,968,1600
c2cds566,VF_A0570,993,D-alanyl-alanine synthetase A,344,598,536,2476,1460,531,30,289,339
c2cds567,VF_A0571,915,DNA integration%2Frecombination%2Finvertion protein,144,170,136,282,183,108,188,143,128
c2cds568,VF_A0572,351,minor tail protein,104,110,117,403,608,192,43,88,88
c2cds569,VF_A0573,312,translation initiation factor Sui1,1451,946,917,394,741,156,172,351,864
c2cds570,,108,hypothetical protein,7,28,22,0,0,0,0,12,4
c2cds571,,108,hypothetical protein,4,23,15,0,2,0,0,11,3
c2cds572,VF_A0576,1185,zona occludens toxin,613,626,546,44,42,13,83,181,314
c2cds573,,285,enterotoxin,0,10,2,0,0,0,0,4,3
c2cds574,VF_A0578,1206,OrfU,16,28,12,1,0,0,7,11,19
c2cds575,VF_A1184,246,Cep,227,198,149,78,182,29,8,83,189
c2cds576,VF_A0580,327,RstB2 protein,52,34,31,5,12,1,0,29,26
c2cds577,VF_A0581,1155,RstA2 protein,35,31,31,13,14,3,0,51,54
c2cds578,VF_A0582,336,transcriptional repressor rstR,2287,931,750,507,666,197,57,1354,1239
c2cds579,VF_A1185,279,hypothetical protein,3002,1013,683,165,159,41,13,635,862
c2cds580,VF_A1186,150,hypothetical protein,137,25,12,80,52,19,3,17,7
c2cds581,VF_A0583,567,hypothetical protein,4571,3786,4642,3094,3436,1208,134,1806,3169
c2cds582,VF_A0584,579,hypothetical protein,343,281,266,41,13,8,64,97,128
c2cds583,VF_A0585,1377,pyridine nucleotide transhydrogenase,4027,5839,6688,12701,22007,6613,91,922,1690
c2cds584,VF_A0586,1557,NAD%28P%29 transhydrogenase subunit alpha,4306,6782,7510,17310,23754,6763,352,1642,2825
c2cds585,VF_A0587,276,transcriptional activator HlyU,277,546,496,508,847,242,6,205,345
c2cds586,VF_A0588,555,OmpA family domain-containing protein,488,377,405,77,110,27,0,112,153
c2cds587,VF_A0589,1125,hypothetical protein,840,1073,920,93,113,40,0,186,279
c2cds588,VF_A0590,1125,daunorubicin resistance transmembrane protein,1242,1016,1104,135,149,66,67,353,562
c2cds589,VF_A0591,984,multidrug resistance protein A,2752,1952,2060,284,415,140,87,414,789
c2cds590,VF_A0592,1359,type I secretion outer membrane protein,2941,3022,3169,325,595,169,219,670,1436
c2cds591,VF_A0593,462,LuxT transcriptional regulator,1663,2178,2633,3607,1938,587,250,1757,1851
c2cds592,VF_A0594,297,hypothetical protein,1690,1767,1726,811,426,149,0,588,650
c2cds593,VF_A0595,207,cold shock protein,40765,49755,65919,16118,13873,2243,667,5909,8430
c2cds594,VF_A0596,615,hypothetical protein,232,499,389,410,442,152,31,146,138
c2cds595,VF_A0597,936,LysR family transcriptional regulator,482,828,887,566,565,187,21,396,564
c2cds596,VF_A0598,1230,hypothetical protein,195,555,430,3169,929,356,66,304,325
c2cds597,VF_A0599,663,hypothetical protein,88,107,111,210,110,31,29,151,229
c2cds598,VF_A0600,510,hypothetical protein,853,1666,1771,910,1408,298,0,732,771
c2cds599,VF_A0601,513,nicotinic acid mononucleotide adenylyltransferase,824,605,541,554,926,289,81,324,485
c2cds600,VF_A0602,831,NAD synthetase,1219,1481,1931,2439,1178,332,244,843,1270
c2cds601,VF_A0603,285,endonuclease,183,140,133,218,358,89,95,66,100
c2cds602,VF_A0604,654,hypothetical protein,636,569,614,1458,1611,584,116,368,502
c2cds603,VF_A0605,420,hypothetical protein,499,1052,1132,712,467,148,148,564,890
c2cds604,VF_A0606,309,hypothetical protein,3135,2474,2329,10746,8785,2512,157,1540,1697
c2cds605,VF_A0607,444,hypothetical protein,741,531,648,213,176,63,54,184,277
c2cds606,VF_A0608,1005,two component response regulator,381,758,760,476,380,135,56,299,439
c2cds607,VF_A0609,366,hypothetical protein,2553,1337,1044,1995,1843,369,127,1041,648
c2cds608,VF_A0610,552,hypothetical protein,96,164,195,5591,1810,644,26,282,309
c2cds609,VF_A0611,1239,transporter,201,512,721,326,137,57,38,230,433
c2cds610,VF_A0612,2355,9-hexadecenoic acid cis-trans isomerase,10787,8633,7753,2822,2297,667,376,3098,5107
c2cds611,VF_A0613,531,hypothetical protein,280,260,195,374,206,68,68,265,369
c2cds612,VF_A0614,375,hypothetical protein,874,976,982,436,290,117,106,657,483
c2cds613,VF_A0615,1404,hypothetical protein,267,714,545,673,510,145,131,560,462
c2cds614,VF_A0616,234,hypothetical protein,413,237,57,15,11,8,0,317,105
c2cds615,VF_A0617,1647,hypothetical protein,1604,2322,3098,1598,939,272,48,461,591
c2cds616,VF_A0618,1341,hypothetical protein,484,6165,10236,588,356,87,29,853,728
c2cds617,VF_A0619,249,hypothetical protein,258,526,513,545,204,47,0,454,442
c2cds618,VF_A0620,228,hypothetical protein,2022,1178,752,437,762,119,0,469,558
c2cds619,VF_A0621,531,hypothetical protein,357,218,208,740,564,212,432,735,818
c2cds620,VF_A0622,576,lipoprotein,132,190,161,68,149,34,948,797,1301
c2cds621,VF_A0623,102,hypothetical protein,6,19,4,0,15,0,352,975,199
c2cds622,VF_A0624,705,racemase,982,612,467,316,242,80,71,506,950
c2cds623,VF_A0625,450,hypothetical protein,769,592,346,121,168,42,33,449,807
c2cds624,VF_A0626,435,acetyltransferase,620,205,119,269,315,76,357,201,214
c2cds625,VF_A0627,549,hypothetical protein,59,92,52,144,136,45,116,138,81
c2cds626,VF_A0628,867,3-methyl-2-oxobutanoate hydroxymethyltransferase,168,96,126,198,104,43,28,87,159
c2cds627,VF_A1187,255,hypothetical protein,316,87,32,245,419,108,72,99,59
c2cds628,VF_A0629,363,hypothetical protein,200,192,117,397,628,156,74,173,229
c2cds629,VF_A0630,498,hypothetical protein,338,700,413,797,1663,525,220,334,332
c2cds630,VF_A0631,954,hypothetical protein,665,924,518,673,1572,425,34,529,399
c2cds631,VF_A0632,579,hypothetical protein,315,316,273,968,1523,380,127,362,460
c2cds632,VF_A0633,381,hypothetical protein,34,43,44,109,400,83,0,75,62
c2cds633,VF_A0634,225,hypothetical protein,194,110,70,152,266,78,0,113,61
c2cds634,VF_A0635,474,hypothetical protein,127,190,95,719,719,278,85,412,220
c2cds635,VF_A0636,285,hypothetical protein,99,125,127,319,327,114,18,283,172
c2cds636,VF_A0637,516,hypothetical protein,100,302,302,688,827,360,99,235,170
c2cds637,VF_A0638,630,hypothetical protein,42,57,35,298,600,159,73,117,65
c2cds638,VF_A0639,357,hypothetical protein,144,178,195,872,2169,581,39,211,255
c2cds639,VF_A0640,411,glyoxylase,87,374,303,469,732,198,27,159,231
c2cds640,VF_A0641,309,hypothetical protein,557,2365,2019,889,2738,506,92,1115,1964
c2cds641,VF_A0642,369,hypothetical protein,659,522,362,229,769,267,45,207,158
c2cds642,VF_A0643,789,phosphotransferase family protein,221,393,377,437,934,240,41,314,424
c2cds643,VF_A0644,369,hypothetical protein,17,53,33,19,14,7,5,59,41
c2cds644,VF_A0645,444,acetyltransferase,109,139,112,567,1044,276,12,276,273
c2cds645,VF_A0646,459,hypothetical protein,307,267,200,773,1133,403,26,334,413
c2cds646,VF_A0647,822,hypothetical protein,158,95,68,203,199,93,23,284,125
c2cds647,VF_A0648,366,hypothetical protein,123,75,86,251,235,68,167,154,121
c2cds648,VF_A0649,315,toxin of toxin-antitoxin %28TA%29 stability system,89,131,76,174,191,49,66,202,159
c2cds649,VF_A0650,255,antitoxin of toxin-antitoxin %28TA%29 stability system,76,97,64,156,121,27,1,131,83
c2cds650,VF_A0651,1170,hypothetical protein,2945,2554,1740,5206,5708,1499,1166,1444,1339
c2cds651,VF_A0652,1026,hypothetical protein,1171,820,440,1196,913,310,362,487,288
c2cds652,VF_A0653,453,IAA acetyltransferase,45,35,30,291,277,98,32,144,79
c2cds653,VF_A0654,510,hypothetical protein,93,73,58,546,479,145,142,182,169
c2cds654,VF_A0655,888,hypothetical protein,174,116,79,923,648,224,19,354,279
c2cds655,VF_A0656,525,hypothetical protein,175,155,160,333,466,140,22,252,182
c2cds656,,303,hypothetical protein,4,7,3,17,9,2,0,19,6
c2cds657,VF_A0658,411,hypothetical protein,54,44,44,146,145,52,0,175,116
c2cds658,VF_A0659,303,hypothetical protein,7,16,11,7,19,5,42,11,4
c2cds659,VF_A0660,399,prolyl endopeptidase,506,1557,1125,428,724,189,150,722,620
c2cds660,VF_A0661,372,hypothetical protein,434,520,395,1233,1888,679,90,483,419
c2cds661,VF_A0662,426,acetyltransferase,193,172,180,262,224,49,0,177,165
c2cds662,VF_A0663,984,XerC%2FCodV family integrase%2Frecombinase,609,182,219,34,8,2,192,113,314
c2cds663,VF_A0664,174,hypothetical protein,40,151,125,40,178,34,0,53,56
c2cds664,VF_A0665,825,cytoplasmic protein,538,1014,1105,992,1451,457,74,395,559
c2cds665,VF_A0666,426,hypothetical protein,311,427,566,494,628,209,63,215,335
c2cds666,VF_A0667,705,hypothetical protein,208,333,407,457,374,100,40,291,417
c2cds667,VF_A0668,201,hypothetical protein,193,220,210,155,86,19,7,138,146
c2cds668,VF_A0669,342,hypothetical protein,49,68,28,121,14,8,45,44,35
c2cds669,VF_A0670,192,hypothetical protein,215,221,127,84,88,24,296,104,123
c2cds670,VF_A0671,498,hypothetical protein,253,219,167,58,78,21,69,187,191
c2cds671,VF_A0672,2139,outer membrane heme receptor,204,177,170,295,217,53,135,207,325
c2cds672,VF_A0673,1020,transporter,69,84,60,98,140,33,27,125,118
c2cds673,VF_A0674,549,hypothetical protein,32,27,38,86,82,27,0,109,95
c2cds674,VF_A0675,102,hypothetical protein,11,13,11,9,19,5,26,22,15
c2cds675,VF_A0676,651,hypothetical protein,1749,2235,2493,1384,1679,370,238,799,1440
c2cds676,VF_A0677,1914,methyl-accepting chemotaxis protein,486,2356,2268,10767,7709,2434,3,171,246
c2cds677,VF_A0678,957,MoxR protein,2725,1616,2219,1039,545,179,111,270,813
c2cds678,VF_A0679,960,cytoplasmic protein,1721,890,1376,719,273,92,9,220,611
c2cds679,VF_A0680,534,hypothetical protein,332,170,237,86,39,10,0,63,101
c2cds680,VF_A0681,966,hypothetical protein,1139,481,671,323,120,32,0,108,244
c2cds681,VF_A0682,1908,transporter,3428,912,1251,1195,503,183,27,219,560
c2cds682,VF_A0683,1674,hypothetical protein,5486,1215,1292,1537,1357,399,90,281,602
c2cds683,VF_A0684,99,hypothetical protein,2,1,1,0,0,1,21,2,4
c2cds684,VF_A0685,951,transaldolase B,8582,13491,13210,2034,6069,9250,1568,6341,11056
c2cds685,VF_A0686,1992,transketolase,4141,8428,8896,3128,9790,24872,227,1410,2209
c2cds686,VF_A0687,936,lipid A biosynthesis lauroyl acyltransferase,4966,4552,4767,327,260,74,178,1083,1796
c2cds687,VF_A0688,783,hypothetical protein,303,279,241,294,507,149,46,241,135
c2cds688,VF_A0689,894,hypothetical protein,43,14,10,7,4,3,0,72,35
c2cds689,VF_A0690,4092,hypothetical protein,364,362,345,97,68,26,53,199,223
c2cds690,VF_A0691,657,dihydropteridine reductase%2C NAD%28P%29H-dependent%2C oxygen-insensitive,849,1027,944,1208,889,333,97,1127,868
c2cds691,VF_A0692,1320,GGDEF domain-containing protein,929,633,540,394,269,116,58,677,547
c2cds692,VF_A0693,198,hypothetical protein,4967,4588,3732,1580,2252,356,175,1739,2057
c2cds693,VF_A0694,711,hexapeptide repeat-containing transferase,1460,1495,1859,184,164,47,69,508,729
c2cds694,VF_A0695,1044,guanosine 5%27-monophosphate oxidoreductase,888,558,633,3567,2243,762,3,514,634
c2cds695,VF_A0696,1305,inosine-guanosine kinase,748,723,1107,1600,823,219,31,766,492
c2cds696,VF_A0697,279,peptidyl-prolyl cis-trans isomerase C %28rotamase C%29,947,811,1029,368,232,55,32,300,317
c2cds697,VF_A0698,897,chemotaxis protein CheW,4015,4156,4028,1394,1358,322,39,750,1121
c2cds698,VF_A0699,684,nodulation protein N,15612,21819,19349,2997,6986,1431,464,6608,12269
c2cds699,VF_A0700,1119,glycine cleavage system protein T,647,460,483,9358,8911,1877,728,506,953
c2cds700,VF_A0701,657,transcriptional regulator,19,41,32,1883,1579,626,588,165,212
c2cds701,VF_A0702,381,glycine cleavage system protein H,69,105,105,9327,12400,2000,137,382,523
c2cds702,VF_A0703,2868,glycine dehydrogenase,446,556,739,66648,35533,6652,885,504,1060
c2cds703,VF_A0704,609,hypothetical protein,710,575,470,845,1377,196,82,231,351
c2cds704,VF_A0705,6444,hypothetical protein,5360,5585,6090,9438,8985,2805,418,1484,2659
c2cds705,VF_A0706,2034,diguanylate phosphodiesterase,60,109,70,326,615,199,46,82,81
c2cds706,VF_A0707,873,drug%2Fmetabolite exporter family protein,150,162,166,115,161,29,22,132,161
c2cds707,VF_A0708,858,DNA-binding transcriptional regulator,120,685,642,160,341,72,36,328,531
c2cds708,VF_A1188,153,hypothetical protein,0,0,1,1,0,1,11,2,0
c2cds709,VF_A0709,1902,PTS system%2C mannose-specific IIAB component,414,856,1129,569,515,144,44,381,676
c2cds710,VF_A0710,1197,mannose-6-phosphate isomerase,521,1455,1460,3157,1704,755,24,436,614
c2cds711,VF_A0711,786,PTS system%2C IIA component,111,114,78,329,694,206,0,137,263
c2cds712,VF_A0712,300,hypothetical protein,98,127,102,353,793,189,19,78,158
c2cds713,VF_A0713,1896,enzyme IIC component of PTS,646,890,1119,315,295,80,12,327,818
c2cds714,VF_A0714,2319,serine protease,429,487,442,168,747,190,65,243,391
c2cds715,VF_A0715,3318,chitodextrinase precursor,1197,2959,7184,12730,2339,476,133,1326,1946
c2cds716,VF_A0716,147,hypothetical protein,153,79,79,28,52,13,0,44,59
c2cds717,VF_A0717,1203,lipoprotein,401,255,249,204,272,59,5,85,120
c2cds718,VF_A0718,1227,hypothetical protein,353,269,289,184,268,89,18,126,244
c2cds719,VF_A0719,4842,hypothetical protein,2918,1561,1607,942,1099,313,83,590,1007
c2cds720,VF_A0720,1092,lipoprotein,180,108,87,96,143,47,17,62,134
c2cds721,VF_A0721,1695,hypothetical protein,36,40,47,63,61,25,23,31,51
c2cds722,VF_A0722,1542,sodium%2Fproton antiporter,113,456,1440,17,13,5,29,58,31
c2cds723,,471,hypothetical protein,6,3,0,4,1,0,0,0,2
c2cds724,VF_A0724,924,LysR family transcriptional regulator,44,95,115,214,190,80,0,81,89
c2cds725,VF_A0725,1041,choloylglycine hydrolase family protein,151,156,131,44,79,15,109,52,102
c2cds726,VF_A0726,978,NAD-dependent oxidoreductase,1021,1029,1060,1714,1469,434,89,330,497
c2cds727,VF_A0727,348,cytoplasmic protein,562,555,497,532,388,171,35,184,273
c2cds728,VF_A0728,279,acetyltransferase,751,936,980,566,685,172,28,283,457
c2cds729,VF_A0729,1179,major facilitator transporter,413,692,550,495,156,57,9,201,204
c2cds730,VF_A0730,888,DNA-binding transcriptional regulator,72,141,92,212,429,147,70,71,95
c2cds731,VF_A0731,1632,trehalose-6-P hydrolase,33,84,90,252,246,61,0,19,56
c2cds732,VF_A0732,804,transcriptional regulator,749,413,367,337,408,160,52,223,322
c2cds733,VF_A0733,1053,two component sensor histidine kinase,589,720,650,231,360,86,37,243,384
c2cds734,VF_A0734,1179,hypothetical protein,190,266,218,33,70,16,42,63,149
c2cds735,VF_A0735,798,hypothetical protein,86,89,127,26,56,17,29,23,66
c2cds736,VF_A0736,1269,ABC transporter permease protein,129,133,185,38,86,22,0,29,43
c2cds737,,684,ABC transporter ATP-binding protein,45,42,65,11,16,0,0,7,5
c2cds738,VF_A0738,642,hypothetical protein,49,46,53,16,22,5,19,9,11
c2cds739,VF_A0739,495,acetyltransferase,326,489,572,469,245,81,11,305,444
c2cds740,VF_A0740,270,hypothetical protein,23,35,38,19,24,6,0,24,32
c2cds741,VF_A0741,1005,hypothetical protein,201,337,339,488,531,135,73,162,230
c2cds742,VF_A0742,1026,hypothetical protein,52,31,32,6,23,9,76,43,46
c2cds743,VF_A0743,1068,multidrug resistance protein A,18,33,42,13,25,4,70,51,35
c2cds744,VF_A0744,888,LysR family transcriptional regulator,80,104,123,182,175,54,91,100,73
c2cds745,VF_A0745,681,dithiobiotin synthetase,1216,1654,2019,103,633,187,23,135,124
c2cds746,VF_A0746,822,biotin biosynthesis protein BioC,449,908,778,46,48,18,114,88,116
c2cds747,VF_A0747,1152,8-amino-7-oxononanoate synthase,367,2016,1463,63,72,21,89,176,185
c2cds748,VF_A1189,1053,biotin synthase,541,3327,2626,122,131,29,89,433,488
c2cds749,VF_A0748,1281,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,652,2783,2471,163,97,21,67,144,148
c2cds750,VF_A0749,210,hypothetical protein,3515,1930,1057,495,1460,297,0,910,779
c2cds751,VF_A0750,558,ribosomal-protein-S5-alanine N-acetyltransferase,668,710,753,939,1437,480,113,621,853
c2cds752,VF_A0751,1548,DNA-binding transcriptional regulator%2C tyrosine-binding,414,756,916,1177,1157,396,101,607,675
c2cds753,VF_A0752,945,hypothetical protein,18528,26419,18927,1248,7642,1715,871,2090,4772
c2cds754,VF_A0753,1440,deoxyribodipyrimidine photolyase Phr%2C FAD-binding,10744,13311,8608,880,2097,832,1169,623,1370
c2cds755,VF_A0754,1854,peptide-methionine %28S%29-S-oxide reductase,682,708,684,639,674,220,40,212,230
c2cds756,VF_A0755,138,hypothetical protein,8410,3369,2519,819,891,84,0,466,433
c2cds757,VF_A0756,948,lipoprotein,1595,3517,1674,3552,84,21,126,261,435
c2cds758,VF_A0757,519,hypothetical protein,12380,16840,13575,312,1126,246,382,1292,2902
c2cds759,VF_A0758,504,hypothetical protein,9887,13769,9198,333,682,239,1216,836,1768
c2cds760,VF_A0759,570,hypothetical protein,3727,6802,3382,124,632,97,101,1145,1214
c2cds761,VF_A0760,1257,cyclopropane fatty acyl phospholipid synthase,31581,46091,32481,2371,5401,1267,3887,5621,10329
c2cds762,VF_A0761,753,plasmid partition ParA protein,5613,5831,4437,619,533,119,1876,784,1311
c2cds763,VF_A0762,1299,dehydrogenase,17361,19828,14769,1787,2436,416,1429,2559,4123
c2cds764,VF_A0763,741,short chain dehydrogenase,8502,11578,9496,513,831,241,331,1339,1999
c2cds765,VF_A0764,468,transcriptional regulator,7231,6874,3292,411,425,145,549,1141,876
c2cds766,VF_A0765,684,zinc-binding anti-sigmaE4 factor ChrR,25836,30953,26105,1791,2627,710,2019,3768,7042
c2cds767,VF_A0766,612,RNA polymerase sigma factor,8259,15817,11162,861,1290,424,972,2540,3898
c2cds768,,327,cytochrome c-554%28548%29,25,22,21,12,13,1,1,15,17
c2cds769,VF_A0768,1233,cysteine desulfhydrase,10232,5852,8054,2152,1271,355,248,1431,2469
c2cds770,VF_A0769,657,agglutination protein,9542,3581,4792,1918,1263,394,373,1546,1970
c2cds771,VF_A0770,1203,bicyclomycin resistance protein,137,177,208,113,83,22,40,98,78
c2cds772,VF_A0771,873,LysR family transcriptional regulator,108,115,129,196,146,62,9,110,115
c2cds773,VF_A0772,621,homogentisate export protein,91,421,445,124,82,30,110,254,374
c2cds774,VF_A0773,192,hypothetical protein,2776,2425,1920,146,120,29,901,1546,2137
c2cds775,VF_A0774,747,hydrolase,2752,2584,2538,1597,2550,577,363,613,990
c2cds776,VF_A0775,1173,short chain dehydrogenase,1145,1649,1815,504,263,129,140,821,1150
c2cds777,VF_A0776,621,TonB protein,318,414,440,235,174,48,29,74,121
c2cds778,VF_A0777,405,TonB system transport protein ExbD2,230,400,298,189,165,34,45,61,83
c2cds779,VF_A0778,534,TolQ protein,191,421,390,178,98,34,56,48,89
c2cds780,VF_A0779,1353,TolQ protein,656,1534,1253,812,381,127,114,206,347
c2cds781,VF_A0780,762,hypothetical protein,325,809,585,463,198,90,68,136,165
c2cds782,VF_A0781,2016,iron-hydroxamate transporter permease subunit,528,1821,1154,185,102,33,55,147,197
c2cds783,VF_A0782,945,ferrichrome-binding protein,193,972,638,115,43,29,0,96,136
c2cds784,VF_A0783,768,ferrichrome ABC transporter ATP-binding protein,356,1219,783,193,84,26,67,200,272
c2cds785,VF_A0784,2199,ferrichrome outer membrane transporter,1723,8390,5201,1664,283,99,179,925,1018
c2cds786,VF_A0785,900,AraC family transcriptional regulator,1389,786,602,297,282,69,146,560,689
c2cds787,VF_A0786,1611,PTS system%2C glucose-specific II BC component,164,420,378,1040,2212,667,57,215,256
c2cds788,VF_A0787,1572,ABC transporter ATP-binding protein,5650,11977,19016,3256,1396,409,268,1727,3538
c2cds789,VF_A0788,405,hypothetical protein,453,151,109,20,20,5,0,52,68
c2cds790,VF_A0789,486,lactoylglutathione lyase,106,108,118,31,51,6,43,65,101
c2cds791,VF_A0790,657,chloramphenicol acetyltransferase,108,158,154,39,59,7,18,45,93
c2cds792,VF_A0791,909,LysR family transcriptional regulator,801,201,212,253,203,55,38,116,199
c2cds793,VF_A0792,846,proline iminopeptidase,247,231,321,75,141,43,1,114,159
c2cds794,VF_A0793,903,LysR family transcriptional regulator,164,293,290,250,297,95,4,132,189
c2cds795,VF_A0794,1197,acetate kinase,946,1288,1596,10065,3872,1786,21,442,656
c2cds796,VF_A0795,996,two component response regulator,101,79,54,94,58,16,8,78,39
c2cds797,VF_A0796,963,GGDEF domain-containing protein,157,53,115,130,79,27,8,87,90
c2cds798,VF_A0797,891,maltose ABC transporter permease,2890,2226,2481,983,2193,709,191,875,1815
c2cds799,VF_A0798,1545,maltose transporter membrane protein,600,484,464,815,2103,962,69,213,305
c2cds800,VF_A0799,1185,maltose ABC transporter substrate-binding protein,2199,1167,1077,16231,12097,4363,155,832,1386
c2cds801,VF_A0800,1110,maltose ABC transporter ATP-binding protein,911,567,665,986,1473,835,171,267,424
c2cds802,VF_A0801,1956,glycogen debranching enzyme,2035,1619,1490,1097,1539,657,80,706,1226
c2cds803,VF_A0802,942,chemotaxis protein CheW,1028,2251,2482,3046,3009,719,139,337,663
c2cds804,VF_A0803,1242,serine%2Fthreonine transporter SstT,3660,8105,8222,3847,3939,963,126,2229,2758
c2cds805,VF_A0804,663,permease,215,456,345,86,51,16,71,86,99
c2cds806,VF_A0805,1500,glycogen synthase,15497,4544,6579,3802,3988,1096,215,1116,1593
c2cds807,VF_A0806,1218,glucose-1-phosphate adenylyltransferase,6459,3206,3587,1938,3239,645,15,635,1001
c2cds808,VF_A0807,654,hypothetical protein,1546,682,645,519,476,127,156,294,311
c2cds809,VF_A0808,2148,glycogen branching enzyme,1682,1240,1293,8485,4139,838,100,435,675
